asset	alt_text
upload/phone/01-one-letter.png	A WordShift puzzle shows L selected in PLAY, with a valid move into PANT to make PAY and PLANT.
upload/phone/02-build-a-home.png	A growing woodland house in WordShift contains furnished rooms and animal residents.
upload/phone/03-unlikely-friends.png	An animal resident talks with the player in WordShift, with the woodland house behind the conversation.
upload/phone/04-after-dark.png	WordShift’s woodland house stands beneath a dark night sky, with warm rooms glowing inside.
upload/phone/05-next-challenge.png	A Double Shift puzzle in WordShift asks the player to move two letters and make valid words.
upload/phone/06-daily-puzzle.png	WordShift’s Daily Challenge presents a word puzzle for the day in the current daily-play interface.
upload/phone/07-your-kind-of-cozy.png	An equipped tile style gives the letter tiles in a WordShift puzzle a different appearance.
upload/phone/08-choices.png	An early story conversation in WordShift offers the player a choice of responses.
upload/feature-graphic-1024x500.png	Ember the fox sits in a warm woodland den beside letter tiles, with a dark doorway behind her.
upload/store-icon-512.png	Ember the fox in a green sweater holds an ochre letter tile marked W.
variants/01-one-letter-challenger.png	Moving L from PLAY into PANT changes the two words to PAY and PLANT in WordShift.
