id	text
01	Shift one letter. Keep both words real. The L lifts out of PLAY, a check marks PLANT, then the rows read PAY and PLANT
02	Words build a home. A pixel-art house on a sunny afternoon: a capybara's office, a fennec's camp, a sloth's hammock, an axolotl's aquarium
03	A cozy game. Mostly. The house at sunset: Panko in her kitchen, Ember by the fire in the den and a softly glowing well
04	Stories in each room. Panko the pangolin: "I went to bed with the spice jars in one order and woke up to find them in another."
05	Then the rules shift. A Double Shift puzzle with Challenge and Speed on: a countdown clock, an undo limit and a lifted letter
06	Every word goes somewhere: words from a solved puzzle float over a hole in a forest clearing. "Something stirs below"
07	Tea or cocoa? A painted story page with a flower-painted cup: Ember asks you to be kind but honest, and you choose tea or cocoa
08	Stay for supper. A painted supper table set with soup and bread. Panko says the empty place at the table can wait
FG-A	Painted art of eight animal friends at a candlelit table with a folded note, the WordShift logo and Your words keep this house warm
FG-B	A sunny pixel-art den with the WordShift logo, the line Every letter counts and letter tiles spelling PLANT
T1	A WordShift puzzle on a tablet: the L lifts out of PLAY and a check marks PLANT on the row below
T2	The WordShift house on a tablet: rooms stacked one above another with animal residents under a sunny mountain sky
T3	A painted story page on a tablet: a flower-painted cup by the fire and two answers to choose from
T4	On a tablet, words from a solved puzzle float over a hole in a sunny forest clearing, with amber waiting to be offered
